Book|Page|Subject|Predicate|Object
Game Of Thrones|10|Lord Eddard Stark|do sentence to die|a man
Game Of Thrones|11|Jon Snow|says that|was dead of fear
Game Of Thrones|11|BRAN|is thinking about|brave and afraid
Game Of Thrones|12|Jon|is mounted beside|Robb
Game Of Thrones|14|Bran|is the son of|Lord Stark
Game Of Thrones|14|Jon Snow|is the brother of|Bran
Game Of Thrones|14|Robb Stark|is the son of|Lord Stark
Game Of Thrones|14|Hullen|says that it be a mercy to kill|pups
Game Of Thrones|15|Jon Snow|is a|direwolf
Game Of Thrones|15|Jon Snow|is the son of|Lord Eddard Stark
Game Of Thrones|15|Lord Eddard Stark|has|grey puppies
Game Of Thrones|16|Tullys|keep|godswood
Game Of Thrones|16|Catelyn|is of|Faith
Game Of Thrones|16|Starks|have|old gods
Game Of Thrones|17|Ned Stark|was a|King
Game Of Thrones|17|Catelyn Stark|is proud of|Bran Stark
Game Of Thrones|17|Mance Rayder|is not for|Catelyn Stark to fear
Game Of Thrones|18|Ned Stark|was fostered at|Eyrie
Game Of Thrones|18|Ned Stark|raised his moon -and-falcon banners in revolt against|Mad King Aerys Targaryen
Game Of Thrones|18|Catelyn Stark|sent word to|Robert Bara theon
Game Of Thrones|19|Ned|has a|feast
Game Of Thrones|19|Robert|wants to|hunt
Game Of Thrones|19|Jory|is sent|south
Game Of Thrones|20|Dany|is|thirteen
Game Of Thrones|20|Illyrio|deals in|spices
Game Of Thrones|20|Illyrio|deals in|gemstones
Game Of Thrones|20|Illyrio|deals in|drago nbone
Game Of Thrones|20|Viserys|has a|feverish look in his pale lilac eyes
Game Of Thrones|21|Dany|had been in|Casterly Rock
Game Of Thrones|21|Dany|had been in|Eyrie
Game Of Thrones|21|Dany|had been in|Highgarden
Game Of Thrones|21|Dany|had been in|Vale of Arryn
Game Of Thrones|21|Dany|had been in|Dorne
Game Of Thrones|22|Dany|has|a little house
Game Of Thrones|22|Dany|has|red door
Game Of Thrones|22|Dany|wants back|childhood
Game Of Thrones|22|Dany|likes|heat
Game Of Thrones|22|Illyrio's|servants|Illyrio
Game Of Thrones|22|Illyrio|scalding water|Daenerys
Game Of Thrones|22|old woman|works|Daenerys
Game Of Thrones|24|Viserys|is a|king
Game Of Thrones|24|Illyrio|is a|magister
Game Of Thrones|24|Illyrio|is the friend of|Dothraki
Game Of Thrones|24|Dany|is a|dragon queen
Game Of Thrones|24|Magister Illyrio|protects|guests
Game Of Thrones|24|Khal Drogo|is a|khal
Game Of Thrones|25|Khal Moro|is a|bloodrider
Game Of Thrones|25|Ser Jorah Mormont|is a|knight
Game Of Thrones|26|Viserys|wants|go home
Game Of Thrones|26|Illyrio|is bringing|Khal Drogo
Game Of Thrones|27|Ned Stark|is a|Lord of Storm's End
Game Of Thrones|27|Ned Stark|is a|giant
Game Of Thrones|27|Ned Stark|is a|friend of Robert Baratheon
Game Of Thrones|27|Robert Baratheon|is a|king
Game Of Thrones|27|Catelyn Stark|is a|Lady of Winterfell
Game Of Thrones|27|Sansa Stark|is a|Lady of Winterfell
Game Of Thrones|27|Arya Stark|is a|Lady of Winterfell
Game Of Thrones|27|Bran Stark|is a|Lord of Winterfell
Game Of Thrones|27|Rickon Stark|is a|Lord of Winterfell
Game Of Thrones|27|Jon Snow|is a|bastard son of Ned Stark and Catelyn Stark
Game Of Thrones|28|Robert Baratheon|is the king of|Westeros
Game Of Thrones|28|Robert Baratheon|was red in the lantern light as they stepped out into|darkness of the crypt
Game Of Thrones|28|Robert Baratheon|had always been a man of huge appetites|a man who knew how to take his pleasures
Game Of Thrones|28|Ned Stark|descended to|Winterfell
Game Of Thrones|29|Robert Stark|has a long|stern face.
Game Of Thrones|30|Rhaegar|died|by dragon
Game Of Thrones|30|Robert Baratheon|remembered|killing Rhaegar
Game Of Thrones|30|Robert Baratheon|killed|Rhaegar
Game Of Thrones|30|Robert Baratheon|has|a warhammer
Game Of Thrones|30|Robert Baratheon|had|antlered helm
Game Of Thrones|30|Robert Baratheon|gave|rubies
Game Of Thrones|30|Robert Baratheon|said|kill Rhaegar for what he did to her
Game Of Thrones|30|Robert Baratheon|vowed|kill Rhaegar
Game Of Thrones|30|Robert Baratheon|remembered|his wife waiting
Game Of Thrones|30|Ned Stark|said|about Jon
Game Of Thrones|31|Robert Arryn|is my namesake|did you know that? Robert Star
Game Of Thrones|31|Catelyn Tully|is close as girls|and would be welcome here as well.
Game Of Thrones|32|Robert|was a|king
Game Of Thrones|32|Robert|sat on|Iron Throne
Game Of Thrones|33|Stark|is from|North
Game Of Thrones|34|Robb|is in|Great Hall
Game Of Thrones|34|Robb|has a ma n’s thirst for|wine
Game Of Thrones|34|Robb|enjoys the company of|youths
Game Of Thrones|34|Jon Snow|is at|fourth hour of welcoming feast
Game Of Thrones|34|Jon Snow|has a ma n’s thirst for|wine
Game Of Thrones|35|Jon Snow|saw|Lion and the Imp; there was no mistaking which was which
Game Of Thrones|35|Jon Snow|found|king should look like
Game Of Thrones|35|Jon Snow|watched|Tyrion Lannister
Game Of Thrones|35|Jon Snow|saw|red eyes staring up at him
Game Of Thrones|35|Jon Snow|asked|Hungry again?
Game Of Thrones|35|Jon Snow|reached out to tear off|leg
Game Of Thrones|35|Jon Snow|knifed|bird whole and let the carcass slide to the floor between hi
Game Of Thrones|35|Benjen Stark of Night's Watch|gave Jon|warm smile as he went by
Game Of Thrones|36|Jon|likes to|drink
Game Of Thrones|36|Jon|is the bastard of|Eddard Stark
Game Of Thrones|36|Jon|has a sister named|Sansa Stark
Game Of Thrones|36|Jon|looks out over the hall with|hooded eyes
Game Of Thrones|36|Ghost|nipped gently at|Jon's hand
Game Of Thrones|36|Robb Stark|stronger lance than|Jon
Game Of Thrones|36|Benjen Stark|wears|black velvet
Game Of Thrones|36|Jon Snow|is a bastard of|Eddard Stark
Game Of Thrones|37|Jon|wants to be in|Night's Watch
Game Of Thrones|38|Jon Snow|is in|Winterfell
Game Of Thrones|38|Tyrion Lannister|was sitting on the ledge above|door to the Great Hall
Game Of Thrones|38|Ghost|is a direwolf|name is Ghost
Game Of Thrones|39|Lannister|is a|dwarf
Game Of Thrones|39|Lannister|studied|face
Game Of Thrones|39|Lannister|says|“Never forget what you are”
Game Of Thrones|40|Catelyn|has a|bath that is always hot and steaming
Game Of Thrones|40|Catelyn|is made for the cold|and is from Riverrun
Game Of Thrones|41|Ned|married|Catelyn
Game Of Thrones|41|Edward Stark|is the father of|bastard son
Game Of Thrones|42|Lysa Arryn|has private language|with L
Game Of Thrones|42|Lysa Arryn|is from House|Arryn
Game Of Thrones|42|Myrr|is without equal|in lenscrafting
Game Of Thrones|43|Maester Luwin|delivered|Catelyn's children
Game Of Thrones|43|Luwin|protect|Lady Arryn and her son
Game Of Thrones|43|Ned Stark|love|Robert like a brother
Game Of Thrones|43|Ned Stark|leave|surrounded by Lannisters
Game Of Thrones|45|Ned|has|carried
Game Of Thrones|45|Catelyn|had asked her husband|the truth of it
Game Of Thrones|45|Ashara Dayne|tall and fair|with haunting violet eyes
Game Of Thrones|46|Luwin|agrees that|hard times
Game Of Thrones|46|Catelyn|thinks of|three children she must lose
Game Of Thrones|46|Ned|turns away from|three children he must lose
Game Of Thrones|46|Ned|will speak to|Ben
Game Of Thrones|46|Ned|would sooner let Jon enjoy|these last few days
Game Of Thrones|46|Maester Luwin|asks about|Jon Snow
Game Of Thrones|47|Arya|is a|girl
Game Of Thrones|47|Arya|thinks about|Jon
Game Of Thrones|47|Joffrey|likes|Sansa
Game Of Thrones|47|Sansa|gets to sit with|Joffrey
Game Of Thrones|48|Arya|is going|shoe a horse
