Book|Page|Subject|Predicate|Object
Game Of Thrones|10|Lord Eddard Stark|do sentence to die|a man
Game Of Thrones|14|Hullen|says that it be a mercy to kill|pups
Game Of Thrones|30|Rhaegar|died|by dragon
Game Of Thrones|30|Robert Baratheon|killed|Rhaegar
Game Of Thrones|39|Lannister|studied|face
Game Of Thrones|51|Robb|killed a man at|twelve
Game Of Thrones|57|Bran|studies|ledge
Game Of Thrones|62|Cersei|studies|Tyrion
Game Of Thrones|80|Targaryen|was killed|in battle
Game Of Thrones|80|Rhaegar|was killed|in battle
Game Of Thrones|110|(Maester Luwin|studies the sky through|polished bronze tube
Game Of Thrones|121|Jon|has fought against|Ser Alliser Thorne
Game Of Thrones|125|Donal Noye|fought|Jon Snow
Game Of Thrones|125|Baratheon|fought|Jon Snow
Game Of Thrones|139|Ser Alliser Knight|fought bravely|King’s Landing
Game Of Thrones|171|Arryn|died of|a sudden illness
Game Of Thrones|198|Tyrion Lannister|conspired to murder|a boy of seven
Game Of Thrones|226|Tyrion Lannister|kills|Clansman who charged at him
Game Of Thrones|227|Tyrion|fought in|battle
Game Of Thrones|227|Bronn|fought in|battle
Game Of Thrones|227|Chiggen|fought in|battle
Game Of Thrones|258|Lyanna Stark|died|of a fever
Game Of Thrones|285|Catelyn Stark|is accusing Ty rion Lannister of sending a hired knife to slay her son Bran in his bed and conspiring to murder Lord Jon Arryn|the Hand of the King
Game Of Thrones|287|Imp|will find a man to kill for|Tyrion
Game Of Thrones|308|Tyrion|prefers to die|comfortable
Game Of Thrones|324|Ser Gregor Clegane|burned down a holdfast and murdered a lot of people|women and children too
Game Of Thrones|343|Robert Baratheon|killed the|Bastard
Game Of Thrones|366|Hullen|died of|stab wounds
Game Of Thrones|369|Arya|killed|stableboy
Game Of Thrones|476|Robb Stark|has studied|maps
Game Of Thrones|488|Cohollo|killed by|Aggo's arrow
Game Of Thrones|501|Cregan Stark|fought Prince Aemon|Dragonknight said never faced finer swordsman
Game Of Thrones|548|Jhogo|lived and died as blood of|Dany's blood
Game Of Thrones|548|Aggo|lived and died as blood of|Dany's blood
A Clash Of Kings|22|Hot Pie|tried to kill|Arry
A Clash Of Kings|27|Joffrey|studied|Sansa
A Clash Of Kings|27|Joffrey|studied|Sansa from head to heels
A Clash Of Kings|38|Eddard Stark|was killed by|Lord Eddard Stark
A Clash Of Kings|38|Jon Arryn|was murdered by|Tyrion Lannister
A Clash Of Kings|39|Tyrion|killed|Robert
A Clash Of Kings|43|Varys|commands to kill|Tyrion
A Clash Of Kings|78|Tyrion Lannister|chose Deem for the unhappy task of killing the whore’s bastard|Balon Greyjoy’s Rebellion
A Clash Of Kings|85|Bronn|gives them a chance to kill each other|while I do the same for them
A Clash Of Kings|116|Ned Stark|killed|Rodrik
A Clash Of Kings|116|Ned Stark|killed|Maron
A Clash Of Kings|157|Lord Hornwood|was killed in|battle on the Green Fork
A Clash Of Kings|174|Gregor Clegane|killed|Elia and her babe
A Clash Of Kings|199|Tyrion Lannister|offered his sister's killer|to Doran Martell
A Clash Of Kings|231|Brown Bernarr|killed my|brother
A Clash Of Kings|256|Shagga|killed|Pycelle
A Clash Of Kings|285|Ser Harys Swyft|has a squire who was stabbed to death by|Bloody Mummers
A Clash Of Kings|291|Arya|killed|Chiswyck
A Clash Of Kings|291|Arya|would kill|two more before she was through
A Clash Of Kings|312|Brienne|killed|Renly
A Clash Of Kings|331|Ser Loras Tyrell|is not unskilled in|negotiation
A Clash Of Kings|385|Melisandre|means to kill|Renly Baratheon
A Clash Of Kings|400|Cortnay Penrose|was killed in|single combat with Lord Stannis
A Clash Of Kings|406|Edmure|battle out there on the river|Lord Jason
A Clash Of Kings|460|Ygritte|was killed|in Wall
A Clash Of Kings|496|Theon|killed|Farlen
A Clash Of Kings|496|Black Lorren|fear no foe in open battle|but it
A Clash Of Kings|506|Allard Florent|is assigned a place in the second line of battle|on the starboard wing
A Clash Of Kings|512|Lady Marya|joined in battle with|Black Betha
A Clash Of Kings|514|Davos|fought|Lannister river runners
A Clash Of Kings|514|Davos|battled|Swordfish
A Clash Of Kings|535|Renly|killed|Ser Guyard Morrigen
A Clash Of Kings|543|Lannisport|fought a time or two at|Ser Jorah
A Clash Of Kings|543|Pyke|fought at|Ser Jorah
A Clash Of Kings|544|Belwas|studied|Arstan's face
A Clash Of Kings|552|Arya|threatens to kill|Elmar
A Clash Of Kings|565|Black Lorren|meant to die|an end worthy of a song
A Clash Of Kings|565|Black Lorren|wants to die|an end worthy of a song
A Clash Of Kings|587|Qhorin Halfhand|was killed by|Jon Snow
A Storm Of Swords|32|Arya|killed a guard on the postern gate|slitting his throat
A Storm Of Swords|97|Davos|intends to kill|Melisandre
