Book|Page|Subject|Predicate|Object
Game Of Thrones|14|Bran|is the son of|Lord Stark
Game Of Thrones|14|Jon Snow|is the brother of|Bran
Game Of Thrones|14|Robb Stark|is the son of|Lord Stark
Game Of Thrones|15|Jon Snow|is the son of|Lord Eddard Stark
Game Of Thrones|36|Jon|is the bastard of|Eddard Stark
Game Of Thrones|36|Jon|has a sister named|Sansa Stark
Game Of Thrones|36|Jon Snow|is a bastard of|Eddard Stark
Game Of Thrones|41|Edward Stark|is the father of|bastard son
Game Of Thrones|91|Catelyn|is mother of|Robb
Game Of Thrones|91|Robb|is son of|Catelyn
Game Of Thrones|92|Bran|is the son of|Robb Stark
Game Of Thrones|101|Joffrey|is the son of|Robert Baratheon
Game Of Thrones|107|Ned Stark|is the father of|Sansa Stark
Game Of Thrones|107|Sansa Stark|is the daughter of|Ned Stark
Game Of Thrones|112|Bran|is the brother of|Robb
Game Of Thrones|136|Sansa|is the daughter of|Eddard Stark
Game Of Thrones|149|Arya|is the daughter of|Lord Eddard Stark
Game Of Thrones|149|Lord Eddard Stark|named his daughter|Arya
Game Of Thrones|216|Robert|has fathered|a daughter
Game Of Thrones|237|Desmond|said Arya that her father has|Fifty.)
Game Of Thrones|245|Catelyn Stark|is sister to|Jon Snow
Game Of Thrones|247|Lord Hoster Tully|is a brother of|Brynden Tully
Game Of Thrones|280|Tyron|is imprisoned in|sky cells
Game Of Thrones|285|Catelyn Stark|is accusing Ty rion Lannister of sending a hired knife to slay her son Bran in his bed and conspiring to murder Lord Jon Arryn|the Hand of the King
Game Of Thrones|314|Gunthor|is the father of|Gunthor son of Gurn
Game Of Thrones|314|Lannister|is the father of|Tyrion Lannister
Game Of Thrones|318|Septa Mordane|has daughter|Sansa beside her
Game Of Thrones|326|Sansa Stark|is the daughter of|Eddard Stark
Game Of Thrones|331|Cersei Lannister|is sister to|Jaime Lannister
Game Of Thrones|331|Cersei Lannister|daughter of|Tywin Lannister
Game Of Thrones|332|Robb Stark|is the son of|Catelyn Stark
Game Of Thrones|332|Jon Snow|is the illegitimate son of|Lord Ned Stark
Game Of Thrones|336|Dany|has an unborn child|moon of my life
Game Of Thrones|338|Rhaegar|is the father of|Dany
Game Of Thrones|341|Viserys Targaryen|is the brother of|Dany
Game Of Thrones|342|Stark|has a father|Brandon
Game Of Thrones|342|Stark|has a sister|Lyanna
Game Of Thrones|343|Ned Stark|is brother of|Eddard Stark
Game Of Thrones|345|Ned|"remembers the bastards)
(Barra"|is at her mother's breast
Game Of Thrones|360|Cersei Lannister|is the mother of|Princess Myrcella
Game Of Thrones|373|Queen Cersei|wants to do with Jeyne's father|Littlefinger will be taking her
Game Of Thrones|377|Sansa Stark|is a daughter of|Cersei Lannister
Game Of Thrones|385|Samwell Tarly|is my brother now|so he's my father too
Game Of Thrones|390|Bran|is the brother of|Robb Stark
Game Of Thrones|426|Sansa Stark|is the daughter of|Eddard Stark
Game Of Thrones|435|Catelyn Tully|is the mother of|Robb Stark
Game Of Thrones|437|Catelyn|is the mother of|Robb
Game Of Thrones|439|Catelyn Stark|is the daughter of|Lord Walder Frey
Game Of Thrones|439|Lord Walder Frey|is the father of|Catelyn Stark
Game Of Thrones|461|Tywin|has a great crimson-and-gold standard waving overhead from|pike
Game Of Thrones|473|Tywin Lannister|is the father of|Lord Cerwyn
Game Of Thrones|473|Tywin Lannister|is the father of|Tyrion
Game Of Thrones|475|Catelyn Stark|is the mother of|Robb Stark
Game Of Thrones|502|Rickon|allowed his father's direwolf|Shaggydog to roam free and fight with a shadow wolf
Game Of Thrones|507|Sansa|was the daughter of|Eddard Stark
Game Of Thrones|507|Sansa|is the sister of|Robb Stark
Game Of Thrones|507|Sansa|is the sister of|Sansa
Game Of Thrones|511|Sansa Stark|will have a child with|Joffrey Baratheon
Game Of Thrones|519|Dany|is the daughter of|Aegon the Conqueror
Game Of Thrones|519|Dany|is the daughter of|Maegor the Cruel
Game Of Thrones|528|Tyrion|could see the gibbet his father had erected in|yard
A Clash Of Kings|13|Robert Arry|was the son of|Lord Steffon
A Clash Of Kings|17|Lord Stannis|is father of|Patchface
A Clash Of Kings|17|Lady Selyse|is mother of|Baela
A Clash Of Kings|17|Stannis Baratheon|is father of|Jon Snow
A Clash Of Kings|34|Tywin Lannister|is the father of|Tyrion
A Clash Of Kings|34|Tyrion|delivers a letter from his father|Lord Tywin Lannister
A Clash Of Kings|47|Bran|is the son of|Robb
A Clash Of Kings|49|Big Walder|has a grandson|Black Walder
A Clash Of Kings|49|Big Walder|has a son|Red Walder
A Clash Of Kings|49|Big Walder|has a brother|Ser Emmon's son
A Clash Of Kings|51|wolf|brother is loping around|walls
A Clash Of Kings|53|Arya|is a daughter of|Tully
A Clash Of Kings|53|Arya|thinks her father is|Sansa
A Clash Of Kings|78|Tyrion Lannister|chose Deem for the unhappy task of killing the whore’s bastard|Balon Greyjoy’s Rebellion
A Clash Of Kings|100|Stannis|is the trueborn son of|Steffon Baratheon
A Clash Of Kings|101|Robert|fathered a bastard|on
A Clash Of Kings|115|Theon Greyjoy|is the son of|Balon Greyjoy
A Clash Of Kings|115|Balon Greyjoy|is the father of|Theon Greyjoy
A Clash Of Kings|117|Lord Balon Greyjoy|is the son of|the Sea Wind
A Clash Of Kings|145|Lady Selyse|has two brothers|one of her uncles has been with her on Dragonstone all this time
A Clash Of Kings|150|Alayaya|is the daughter of|Chataya
A Clash Of Kings|180|Clegane|will have a song from|Sansa
A Clash Of Kings|199|Tyrion Lannister|offered his sister's killer|to Doran Martell
A Clash Of Kings|209|Robb|calls his father|Minisa)
A Clash Of Kings|213|Ser Colen|daughter of|Lord Selwyn the Evenstar
A Clash Of Kings|215|Renly|has two daughters|Margaery
A Clash Of Kings|217|Knight of Flowers|thinks they are boys drunk on song and story|and think themselves immortal
A Clash Of Kings|229|Ned Stark|is the half brother of|a king
A Clash Of Kings|232|Craster|gives his sons to the|wood
A Clash Of Kings|235|Esgred|is daughter of|Ambrode
A Clash Of Kings|243|Asha|is the sister of|Theon Greyjoy
A Clash Of Kings|247|Tyrion|is the sister of|Cersei
A Clash Of Kings|250|Ser Cleos|cousin of|Tyrion
A Clash Of Kings|265|Lannisters|father and son|are treacherous
